,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_0,count_topic_2,count_topic_4,topic_0,topic_2,topic_4,count_topic_3,count_topic_1,topic_3,topic_1
134,JY Wee,2023-04-01,PostCovid,4,,"[[room, big, 2], [use, total, 4], [time, first, 1], [room, big, 2], [room, loud, 2], [airport, extra, 3]]",,3.0,1.0,,0.03333333333333333,0.0,1.0,1.0,0.0,0.25
135,mbraga841520,2023-04-01,PostCovid,4,,"[[airport, bad, 3], [airport, far, 3], [room, poor, 2], [room, clean, 2], [hour, recept, 4], [room, luggag, 2]]",,3.0,1.0,,-0.011111111111111108,0.0,2.0,,-0.29999999999999993,
136,Donfinele,2023-04-01,PostCovid,4,,"[[hotel, overal, 0]]",1.0,,,0.0,,,,,,
137,ruthandvern,2023-04-01,PostCovid,4,5.0,"[[pool, older, 3], [pool, interior, 3], [pool, lower, 3]]",,,,,,,3.0,,0.05555555555555555,
138,pmoon345536,2023-04-01,PostCovid,4,,[],,,,,,,,,,
139,Roam68814,2023-04-01,PostCovid,4,,[],,,,,,,,,,
140,Kenny L,2023-04-01,PostCovid,4,,[],,,,,,,,,,
141,thetetd,2023-04-01,PostCovid,4,,"[[place, good, 0], [place, tri, 0], [place, side, 0], [place, singapor, 0], [place, good, 0]]",5.0,,,0.27999999999999997,,,,,,
142,tpholt665003,2023-04-01,PostCovid,4,,"[[time, long, 1]]",,,,,,,,1.0,,-0.05
143,JP_taking_forever,2023-04-01,PostCovid,4,,"[[room, servic, 2]]",,1.0,,,0.0,,,,,
144,0bb9na2emtd6gcdb2023,2023-04-01,PostCovid,4,,"[[room, correct, 2]]",,1.0,,,0.0,,,,,
145,spang451119,2023-04-01,PostCovid,4,,"[[room, smaller, 2], [time, long, 1], [room, strong, 2], [room, enough, 2]]",,3.0,,,0.14444444444444443,,,1.0,,-0.05
146,pmorri641801,2023-04-01,PostCovid,4,,"[[pool, swim, 3], [pool, close, 3], [pool, swim, 3]]",,,,,,,3.0,,0.0,
147,Paul C,2023-04-01,PostCovid,4,,[],,,,,,,,,,
148,Patiepie,2023-04-01,PostCovid,4,,[],,,,,,,,,,
149,09xejf3jja6p0c8c2023,2023-04-01,PostCovid,4,,"[[time, final, 1], [time, open, 1], [time, covid, 1]]",,,,,,,,3.0,,0.0
150,mariamaria2023,2023-04-01,PostCovid,4,,"[[hotel, closer, 0], [hotel, 'someth closer', 0], [book, green, 4], [book, blue, 4], [book, nice, 4]]",2.0,,3.0,0.0,,0.13333333333333333,,,,
151,tsmith701428,2023-04-01,PostCovid,4,,"[[room, great, 2], [shop, local, 0]]",1.0,1.0,,0.0,0.8,,,,,
152,Mikhail S,2023-04-01,PostCovid,4,,"[[bed, top, 3], [room, far, 2]]",,1.0,,,0.1,,1.0,,0.5,
153,8eblb0vyi6,2023-04-01,PostCovid,4,,"[[hotel, pleasant, 0], [hotel, pleasant, 0], [room, close, 2]]",2.0,1.0,,0.7333333333333333,0.0,,,,,
154,Cheryl35672T,2023-04-01,PostCovid,4,,"[[time, long, 1], [bathroom, clean, 2], [stay, great, 1]]",,1.0,,,0.3666666666666667,,,2.0,,0.375
155,Bhavik S,2023-04-01,PostCovid,4,,"[[hotel, good, 0], [hotel, good, 0], [staff, thank, 1]]",2.0,,,0.7,,,,1.0,,0.0
156,09876yzyj2vggc832023,2023-04-01,PostCovid,4,,[],,,,,,,,,,
157,Desmond,2023-04-01,PostCovid,4,5.0,"[[stay, great, 1], [hotel, great, 0], [check, late, 4], [hotel, improv, 0]]",2.0,,1.0,0.4,,-0.3,,1.0,,0.8
158,leeweefoo,2023-04-01,PostCovid,4,,"[[floor, everi, 2]]",,1.0,,,0.0,,,,,
159,Pigangel,2023-04-01,PostCovid,4,,"[[bed, great, 3], [room, insid, 2]]",,1.0,,,0.0,,1.0,,0.8,
160,keneng,2023-04-01,PostCovid,4,,[],,,,,,,,,,
161,sb4yrymm1c,2023-04-01,PostCovid,4,,"[[hotel, total, 0], [use, covid, 4], [time, covid, 1], [hotel, open, 0], [hotel, covid, 0]]",3.0,,1.0,0.0,,0.0,,1.0,,0.0
162,HertsOldie,2023-04-01,PostCovid,4,,"[[place, good, 0]]",1.0,,,0.7,,,,,,
163,jcn_uk,2023-04-01,PostCovid,4,,"[[day, best, 4], [time, singapor, 1], [airport, entir, 3], [night, late, 3], [room, nice, 2], [room, enough, 2], [pool, nice, 3]]",,2.0,1.0,,0.3,1.0,3.0,1.0,0.09999999999999999,0.0
164,jason,2023-03-01,PostCovid,4,,"[[help, recent, 1]]",,,,,,,,1.0,,0.0
165,0ae8f9dq2b53gc832023,2023-04-01,PostCovid,4,,"[[room, much, 2]]",,1.0,,,0.2,,,,,
166,0a8r82m429yz0c9r2023,2023-03-01,PostCovid,4,,"[[room, celebr, 2], [howev, nice, 2]]",,2.0,,,0.3,,,,,
167,mj4s44bxok,2023-03-01,PostCovid,4,,"[[room, quiet, 2], [room, connect, 2]]",,2.0,,,0.0,,,,,
168,Dream52625096734,2023-03-01,PostCovid,4,,"[[airport, great, 3], [airport, close, 3], [airport, close, 3], [staff, super, 1]]",,,,,,,3.0,1.0,0.26666666666666666,0.3333333333333333
169,Anonymwbemeldjsl,2023-03-01,PostCovid,4,,[],,,,,,,,,,
170,rbecke344961,2023-03-01,PostCovid,4,,"[[check, great, 4]]",,,1.0,,,0.8,,,,
171,Elaine W,2023-03-01,PostCovid,4,,"[[hotel, main, 0], [place, centr, 0], [place, 'far centr', 0], [place, whole, 0]]",4.0,,,0.11666666666666667,,,,,,
172,Global106472,2023-03-01,PostCovid,4,,"[[staycat, long, 1], [room, nice, 2], [place, good, 0]]",1.0,1.0,,0.7,0.6,,,1.0,,-0.05
173,KellyandTran,2023-03-01,PostCovid,4,,"[[night, total, 3], [room, local, 2]]",,1.0,,,0.0,,1.0,,0.0,
174,Hotelier68,2023-03-01,PostCovid,4,,"[[room, cleaner, 2], [room, 'funkier cleaner', 2], [room, smaller, 2], [room, 'much smaller', 2]]",,4.0,,,0.0,,,,,
175,Vin V,2023-03-01,PostCovid,4,,"[[hotel, good, 0]]",1.0,,,0.7,,,,,,
