,traveller_username,date,covid,star,rating,aspect_sentiment,count_topic_1,count_topic_0,count_topic_3,topic_1,topic_0,topic_3,count_topic_2,topic_2,count_topic_4,topic_4
108,Glick76au,2019-12-01,PreCovid,3,5.0,"[[walk, short, 4], [day, short, 2], [hotel, due, 1], [stay, unabl, 1]]",2.0,,,-0.0625,,,1.0,0.0,1.0,0.0
109,Clare O,2019-12-01,PreCovid,3,5.0,"[[door, front, 0], [bed, compact, 0]]",,2.0,,,0.0,,,,,
110,Scorpio1937,2019-12-01,PreCovid,3,4.0,"[[room, cruis, 0], [room, singapor, 0], [bathroom, small, 0], [bathroom, clean, 0]]",,4.0,,,0.029166666666666674,,,,,
111,Kiwi2NZ,2019-12-01,PreCovid,3,4.0,"[[size, small, 0], [staff, servic, 1]]",1.0,1.0,,0.0,-0.25,,,,,
112,Goosie,2019-12-01,PreCovid,3,3.0,"[[room, small, 0], [bed, small, 0], [bathroom, soft, 0], [shower, small, 0], [shower, 'also small', 0]]",,5.0,,,-0.18,,,,,
113,supratik2017,2019-12-01,PreCovid,3,4.0,"[[hotel, good, 1], [hotel, nice, 1], [staff, good, 1]]",3.0,,,0.6666666666666666,,,,,,
114,Mama,2019-12-01,PreCovid,3,3.0,"[[room, live, 0]]",,1.0,,,0.13636363636363635,,,,,
115,Sherly T,2019-12-01,PreCovid,3,5.0,"[[room, qualiti, 0], [staff, good, 1]]",1.0,1.0,,0.7,0.0,,,,,
116,MonSur15,2019-12-01,PreCovid,3,4.0,"[[bed, great, 0], [bed, small, 0], [size, small, 0], [size, regular, 0]]",,4.0,,,0.07500000000000001,,,,,
117,JJCanuck63,2019-12-01,PreCovid,3,5.0,"[[floor, quiet, 0], [room, great, 0], [room, cheap, 0], [room, hous, 0]]",,4.0,,,0.30000000000000004,,,,,
118,David_ytyeung,2019-12-01,PreCovid,3,4.0,"[[breakfast, includ, 4], [food, choic, 1]]",1.0,,,0.0,,,,,1.0,0.0
119,Chan,2019-12-01,PreCovid,3,4.0,"[[room, great, 0], [bed, clean, 0], [stay, good, 1]]",1.0,2.0,,0.7,0.5833333333333334,,,,,
120,Omar K,2019-11-01,PreCovid,3,5.0,"[[time, first, 2], [room, first, 0], [room, foremost, 0], [size, decent, 0], [room, small, 0], [room, 'somewhat small', 0], [night, full, 4], [room, everi, 0], [water, hot, 0], [time, weak, 2]]",,7.0,,,0.023809523809523805,,2.0,-0.0625,1.0,0.35
121,zambrosia,2019-12-01,PreCovid,3,5.0,[],,,,,,,,,,
122,Praveen K,2019-12-01,PreCovid,3,2.0,"[[room, small, 0], [room, small, 0]]",,2.0,,,-0.25,,,,,
123,ziaul A,2019-12-01,PreCovid,3,5.0,"[[hotel, great, 1]]",1.0,,,0.8,,,,,,
124,AndiChandra,2019-12-01,PreCovid,3,4.0,"[[room, good, 0], [room, 'overal good', 0], [bathroom, small, 0]]",,3.0,,,0.3833333333333333,,,,,
125,e4rly23,2019-12-01,PreCovid,3,5.0,"[[door, front, 0]]",,1.0,,,0.0,,,,,
126,sutasineebsps,2019-11-01,PreCovid,3,5.0,"[[time, great, 2], [time, rememb, 2], [room, alway, 0], [room, good, 0], [staff, nice, 1], [staff, clean, 1]]",2.0,2.0,,0.48333333333333334,0.35,,2.0,0.4,,
127,mlee598,2019-12-01,PreCovid,3,4.0,"[[room, great, 0], [room, good, 0], [room, servic, 0]]",,3.0,,,0.5,,,,,
128,artemisworks,2019-12-01,PreCovid,3,3.0,"[[hotel, mid, 1], [night, sever, 4], [stay, singapor, 1], [hotel, first, 1], [food, cheap, 1]]",4.0,,,0.1625,,,,,1.0,0.0
129,Bharat Reddy,2019-12-01,PreCovid,3,4.0,"[[room, small, 0], [breakfast, good, 4]]",,1.0,,,-0.25,,,,1.0,0.7
130,rob peard,2019-12-01,PreCovid,3,4.0,[],,,,,,,,,,
131,Marjo H,2019-11-01,PreCovid,3,3.0,"[[room, good, 0]]",,1.0,,,0.7,,,,,
132,Sirin,2019-11-01,PreCovid,3,4.0,"[[room, small, 0], [time, first, 2]]",,1.0,,,-0.25,,1.0,0.25,,
133,Ramneek,2019-12-01,PreCovid,3,3.0,"[[room, small, 0]]",,1.0,,,-0.25,,,,,
134,Chris Reyes,2019-11-01,PreCovid,3,5.0,[],,,,,,,,,,
135,J. A. Lalamentik,2019-12-01,PreCovid,3,5.0,[],,,,,,,,,,
